/Computer/PC,"{'level': 0, 'message': 'OK', 'hardware_id': '', 'values': {'/Computer/PC/CPU Load': 'CPU load is OK', '/Computer/PC/CPU Temperature': 'CPU temperature is OK', '/Computer/PC/Harddrive': 'Harddrive is OK', '/Computer/PC/Memory': 'Memory is OK'}}"
/Computer/PC/CPU Load,"{'level': 0, 'message': 'CPU load is OK', 'hardware_id': 'PC', 'values': {'Average CPU load': '51', 'Average CPU load (30 second)': '49.6', 'Average CPU load (3 minut)': '49.8', '{""message"": ""Thread %(number)d"", ""args"": {""number"":0}}': '52.1', '{""message"": ""Thread %(number)d"", ""args"": {""number"":1}}': '51', '{""message"": ""Thread %(number)d"", ""args"": {""number"":2}}': '52.6', '{""message"": ""Thread %(number)d"", ""args"": {""number"":3}}': '48.9'}}"
/Computer/PC/CPU Temperature,"{'level': 0, 'message': 'CPU temperature is OK', 'hardware_id': 'PC', 'values': {'Package id 0': '55', 'Core 0': '55', 'Core 1': '54'}}"
/Computer/PC/Harddrive,"{'level': 0, 'message': 'Harddrive is OK', 'hardware_id': 'PC', 'values': {'{""message"": ""Total size %(unit)s"", ""args"": {""unit"":""[GB]""}}': '55.74', '{""message"": ""Used %(unit)s"", ""args"": {""unit"":""[GB]""}}': '6.07', '{""message"": ""Free %(unit)s"", ""args"": {""unit"":""[GB]""}}': '49.67'}}"
/Computer/PC/Memory,"{'level': 0, 'message': 'Memory is OK', 'hardware_id': 'PC', 'values': {'{""message"": ""Total size %(unit)s"", ""args"": {""unit"":""[GB]""}}': '7.61', '{""message"": ""Used %(unit)s"", ""args"": {""unit"":""[GB]""}}': '3.16', '{""message"": ""Free %(unit)s"", ""args"": {""unit"":""[GB]""}}': '4.35'}}"
/Computer/Network,"{'level': 0, 'message': 'OK', 'hardware_id': '', 'values': {'/Computer/Network/Gateways': '', '/Computer/Network/Master Interface': '{""message"": ""Active with Slave Interface %(index)d"", ""args"": {""index"":1}}', '/Computer/Network/Wifi': 'Link is up', '/Computer/Network/{""message"": ""Slave Interface %(index)s"", ""args"": {""index"":1}}': 'Link is up', '/Computer/Network/{""message"": ""Slave Interface %(index)s"", ""args"": {""index"":2}}': 'Link is up'}}"
/Computer/Network/Gateways,"{'level': 0, 'message': '', 'hardware_id': '', 'values': {'{""message"": ""Priority %(gateway)s"", ""args"": {""gateway"":""192.168.1.7""}}': '0'}}"
/Computer/Network/Master Interface,"{'level': 0, 'message': '{""message"": ""Active with Slave Interface %(index)d"", ""args"": {""index"":1}}', 'hardware_id': 'enp_br0', 'values': {'Interface name': 'enp_br0', 'MAC address': 'a4:1c:b4:0f:e9:97', 'Link status': 'up', 'IP address': '192.168.12.20', 'IP netmask': '255.255.255.0', 'Link up count': '1', 'Link down count': '1', 'Transmit errors': '0', 'Receive errors': '0', 'Collisions': '0', '{""message"": ""Transmitted bytes %(unit)s"", ""args"": {""unit"":""[MB]""}}': '295.52', '{""message"": ""Received bytes %(unit)s"", ""args"": {""unit"":""[GB]""}}': '1.59', 'Ethernet link detected': 'Yes', 'Ethernet link speed [MBit/s]': '100', 'Ethernet link duplex': 'Half', 'Ethernet link auto negotiation': ' No', 'Ethernet link advertised modes': '', 'Ethernet link partner advertised modes': ''}}"
/Computer/Network/Wifi,"{'level': 0, 'message': 'Link is up', 'hardware_id': 'wlp2s0', 'values': {'Interface name': 'wlp2s0', 'MAC address': '00:0e:8e:ad:74:a9', 'Link status': 'up', 'IP address': '192.168.1.251', 'IP netmask': '255.255.255.0', 'Link up count': '1', 'Link down count': '1', 'Transmit errors': '0', 'Receive errors': '0', 'Collisions': '0', '{""message"": ""Transmitted bytes %(unit)s"", ""args"": {""unit"":""[MB]""}}': '455.35', '{""message"": ""Received bytes %(unit)s"", ""args"": {""unit"":""[MB]""}}': '26.17', 'SSID': 'MiR', 'Access point MAC': '24:4b:fe:c4:a0:80', 'Frequency': '2457', 'Signal level': '-52'}}"
"/Computer/Network/{""message"": ""Slave Interface %(index)s"", ""args"": {""index"":1}}","{'level': 0, 'message': 'Link is up', 'hardware_id': 'enp0s31f6', 'values': {'Interface name': 'enp0s31f6', 'MAC address': 'a4:1c:b4:0f:e9:98', 'Link status': 'up', 'Link up count': '3', 'Link down count': '3', 'Transmit errors': '0', 'Receive errors': '0', 'Collisions': '0', '{""message"": ""Transmitted bytes %(unit)s"", ""args"": {""unit"":""[MB]""}}': '294.19', '{""message"": ""Received bytes %(unit)s"", ""args"": {""unit"":""[GB]""}}': '1.1', 'Ethernet link detected': 'Yes', 'Ethernet link speed [MBit/s]': '100', 'Ethernet link duplex': 'Full', 'Ethernet link auto negotiation': ' No', 'Ethernet link advertised modes': 'TP', 'Ethernet link partner advertised modes': ''}}"
